key,name,tilt_deg,vinf_mps,family,score,classification,front_collective_rpm,rear_collective_rpm,delta_f_deg,delta_a_deg,delta_e_deg,delta_r_deg,theta_deg,u_mps,w_mps,alpha_deg,linearization_available,linearization_latest_file
tilt_25__vinf_2p5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_entry_lowspeedscored_tilt20_v2p5,LowSpeedScored_Tilt25_V2p5,25,2.5,front_rear_free_flap_elevator,5.01545788599007e-10,exact_trim,1954.12358549377,1698.34005954535,-9.38347780069172,0,-14.334616956115,0,14.2539083630757,2.42303529100726,0.6155485184437,14.2539083626855,1,
tilt_25__vinf_5__family_front_rear_free_flap_elevator__source_transition_trim_lowmid_guidegrid_scored__seed_guide_v5_t25_fm150_rm150,MidbandGuide_Tilt25_V5,25,5,front_rear_free_flap_elevator,7.41409172952823e-13,exact_trim,1948.95201740088,1684.76646701337,-9.06888419309473,0,0.4136237448245,0,14.2637219346023,4.84585964967906,1.23192704963093,14.2637219346023,1,
tilt_25__vinf_10__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_history_1,LowSpeedScored_Tilt25_V10,25,10,front_rear_free_flap_elevator,4.93020503355318e-07,exact_trim,1921.93816043074,1663.53572398829,16.280026712289,0,11.8890847178923,0,13.0293566665499,9.74254679060068,2.25450263377093,13.0293566672406,1,
tilt_25__vinf_15__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_history_5,LowSpeedScored_Tilt25_V15,25,15,front_rear_free_flap_elevator,4.6332205204014e-08,exact_trim,1873.38801089099,1620.4386529138,24.1353417722604,0,14.8383863212055,0,10.8428101811811,14.7322045393316,2.82172809357447,10.8428101805429,1,
tilt_25__vinf_17p5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_history_8,LowSpeedScored_Tilt25_V17p5,25,17.5,front_rear_free_flap_elevator,5.26383429225287e-07,exact_trim,1849.66246228138,1587.70081077613,18.5413372416958,0,23.1224403370311,0,10.1646383721125,17.2253324829598,3.08835246886143,10.1646383720755,1,
tilt_25__vinf_22p5__family_front_rear_free_flap_elevator__source_transition_trim_map_low_speed_scored__seed_entry_lowspeedscored_tilt25_v15,LowSpeedScored_Tilt25_V22p5,25,22.5,front_rear_free_flap_elevator,1.73529124247105e-08,exact_trim,1770.80999625587,1524.072592432,24.8817585799758,0,19.210777767381,0,6.71439492640568,22.3456793844662,2.6307057709659,6.7143949269216,1,
tilt_25__vinf_42p5__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_25__V_42p5__rear_800,25,42.5,low_speed_force_balance_rear_fixed,NaN,exact_trim,1122.02457348134,800,15.0629856813969,NaN,-4.91504776493582,NaN,-0.0653783928599141,42.4999723317244,-0.0484953886168889,-0.0653783928603209,1,
tilt_25__vinf_45__family_low_speed_force_balance_rear_fixed__source_transition_trim_map_low_speed__seed_none,LSFB_tilt_25__V_45__rear_800,25,45,low_speed_force_balance_rear_fixed,NaN,exact_trim,1092.19370501887,800,12.4800468881557,NaN,-4.88919332170218,NaN,-0.0701037228733845,44.9999663166561,-0.0550593216244832,-0.0701037230895664,1,
tilt_25__vinf_75__family_cruise_flap_elevator_rear_fixed__source_transition_trim_map__seed_none,FE_tilt_25__V_75__rear_700,25,75,cruise_flap_elevator_rear_fixed,NaN,exact_trim,1157.7961738432,700,-3.00888848196932,NaN,-2.5163571306675,NaN,-0.118845164119757,74.999838657455,-0.155567844492722,-0.118845164119679,1,
tilt_27p5__vinf_5__family_front_rear_free_flap_elevator__source_transition_trim_lowmid_guidegrid_scored__seed_guide_v5_t27p5_fm75_r150,MidbandGuide_Tilt27p5_V5,27.5,5,front_rear_free_flap_elevator,1.17669821162117e-11,exact_trim,1965.37938684606,1674.56501717025,-6.16195053383333,0,-1.26580550072998,0,15.8750940618403,4.80930153092936,1.36770566446168,15.8750940618403,1,
