source_file,source_kind,source_run_prefix,name,key,tilt_deg,vinf_mps,alpha_target_deg,trim_formulation,family,seed_name,phase,rear_fixed_rpm,success,acceptable,classification,score,max_normalized,worst_component,worst_component_normalized,front_collective_rpm,rear_collective_rpm,delta_f_deg,delta_a_deg,delta_e_deg,delta_r_deg,theta_deg,u_mps,w_mps,alpha_deg,gamma_deg,termination_string,max_state_residual,attempt_count,rear_on_ok,linearization_available,linearization_index_source,linearization_latest_file
newmap_cruise_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_anchor,BridgeFrontier_Tilt90_V75_A0,tilt_90_v_75_a_0,90,75,0,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V75_T90_A0_G6p41,,NaN,0,0,not_usable,28.6489574032692,53.9666145597832,q_dot,53.9666145597832,973.988506723538,851.512043272963,1.50532279979203,0,-2.49178293979583,0,6.41024575823199,75,0,0,6.41024575823199,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_anchor,BridgeFrontier_Tilt90_V75_Am5,tilt_90_v_75_a_m5,90,75,-5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V75_T90_Am5_G4p273,,NaN,0,0,not_usable,9.09697666125385,17.2571737438311,q_dot,17.2571737438311,743.941617850199,1729.93409984808,6.72784057555116,0,-5.27049961356572,0,-3.49375322440938,74.7146023568809,-6.53668070607436,-5,1.50624677559062,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_anchor_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_anchor,BridgeFrontier_Tilt90_V75_A5,tilt_90_v_75_a_5,90,75,5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V75_T90_A5_G3p571,,NaN,0,0,not_usable,6.8025482375251,12.2370333200892,q_dot,12.2370333200892,840.25766539353,100.000265833596,-6.02060434625006,0,-14.2387167748176,0,8.57140711401494,74.7146023568809,6.53668070607436,5,3.57140711401494,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V60_A0,tilt_90_v_60_a_0,90,60,0,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,force_balance_V60_T90_A0_G18p15,,NaN,0,0,not_usable,6.61303779093847,12.5260557854736,q_dot,12.5260557854736,1758.07205252421,923.400819348915,5.82002159510971,0,-10.2223688664789,0,21.8481107392876,60,-1.5186173856313e-18,-1.45017278153108e-18,21.8481107392876,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V60_Am2p5,tilt_90_v_60_a_m2p5,90,60,-2.5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,BridgeFrontier_Tilt90_V60_Am5,,NaN,0,0,not_usable,2.37082657405885,4.46517817064823,q_dot,4.46517817064823,1139.01468852013,1519.47282169331,9.50932686776458,0,-21.1778650685434,0,2.22441048374554,59.9998549594906,-2.62131294599724,-2.50158474640402,4.72599523014955,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V60_Am7p5,tilt_90_v_60_a_m7p5,90,60,-7.5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,BridgeFrontier_Tilt90_V60_Am5,,NaN,0,0,not_usable,1.46995972084316,2.79778000700516,q_dot,2.79778000700516,1142.61412630912,1555.62403935521,18.017958206237,0,-25,0,-5.78676512285828,59.5435088115188,-7.83737618372174,-7.49841524309104,1.71165012023277,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt90_V60_Am10,tilt_90_v_60_a_m10,90,60,-10,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,BridgeFrontier_Tilt90_V60_Am5,,NaN,0,0,not_usable,1.27304626352919,2.422546078966,q_dot,2.422546078966,1143.04405323135,1559.94210245882,18.0027290360474,0,-24.6910667024971,0,-5.65714474014745,59.5435088115188,-7.83737618372174,-7.49841524309104,1.8412705029436,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt75_V60_A0,tilt_75_v_60_a_0,75,60,0,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,BridgeFrontier_Tilt75_V60_Am5,,NaN,0,0,near_trim_borderline,0.724526607548631,1.36206141744032,q_dot,1.36206141744032,1307.17116186752,1581.94508264517,2.85458783570816,0,-25,0,7.90277209405527,60.2280280334765,-0.0132813271349947,-0.0126347151596946,7.91540680921496,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt75_V60_Am2p5,tilt_75_v_60_a_m2p5,75,60,-2.5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,BridgeFrontier_Tilt75_V60_Am5,,NaN,0,0,not_usable,3.36093630086226,6.38103493582763,q_dot,6.38103493582763,1293.85042199535,1673.60920990164,7.04428899686352,0,-25,0,4.81563145484385,59.9998549594906,-2.62131294599724,-2.50158474640402,7.31721620124787,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
newmap_cruise_refine_direct_db,direct_vinf_alpha_force_balance_v1,newmap_cruise_refine,BridgeFrontier_Tilt75_V60_Am7p5,tilt_75_v_60_a_m7p5,75,60,-7.5,vinf_alpha_force_balance_v1,front_rear_free_flap_elevator,BridgeFrontier_Tilt75_V60_Am5,,NaN,0,0,not_usable,8.46948009668784,16.0938782123717,q_dot,16.0938782123717,1290.52942913505,1696.46191286874,15.1755170135244,0,-4.28048921839613,0,6.59068609290344,59.5435088115188,-7.83737618372174,-7.49841524309104,14.0891013359945,Could not find a solution that satisfies all constraints.  Relax the constraints to find a feasible solution.,NaN,NaN,1,0,,
